district,Count,Accuracy,Volume
TN09,47,-0.0632728605244371,0.9130416952271577
TX02,24,0.03221901714555842,1.003172204000113
TX03,20,0.025803325999885378,1.2440308215470006
TX04,90,-0.007217012990136826,1.1056660704901526
TX10,276,-0.0012241111212014006,0.9069090893638826
TX11,177,0.01793792346906474,1.2179871704993341
TX17,53,-0.002857616171490632,1.1783491002438093
TX24,97,-0.014887927893224732,0.9454853006629281
TX26,13,0.010283336646156242,0.9875912361568753
TX32,13,-0.03422214200537868,1.0565464304331196
TX35,45,0.004987752772688708,1.0684399787562273
UT01,104,-0.003188383227303602,1.0520865237125838
UT03,130,0.04166201714913319,0.8917762453899359
VA01,63,0.01522075779034975,1.0754363854505238
VA02,4,0.006749532105999906,1.1698779157725745
VA03,17,-0.017699690354091586,1.3319583994039108
